Title,genres,Director,Actors
Appleseed Alpha,Action|Animation|Sci-Fi,Shinji Aramaki,"Yuka Komatsu, Jun'ichi Suwabe, Aoi Yûki, Hiroki Takahashi"
Saints and Soldiers: The Void,Action|Drama|War,Ryan Little,"Adam Gregory, Timothy S. Shoemaker, Michael Todd Behrens, Christoph Malzl"
xXx: Return of Xander Cage,Action|Adventure|Crime|Thriller,D.J. Caruso,"Vin Diesel, Donnie Yen, Deepika Padukone, Kris Wu"
Sorority House Massacre II,Horror,Jim Wynorski,"Gail Thackray, Melissa Moore, Stacia Zhivago, Barbii"
Waking Up in Reno,Comedy|Romance,Jordan Brady,"Natasha Richardson, Holmes Osborne, Billy Bob Thornton, Patrick Swayze"
Against the Ropes,Comedy|Drama,Charles S. Dutton,"Meg Ryan, Omar Epps, Charles S. Dutton, Tony Shalhoub"
Where the Day Takes You,Drama,Marc Rocco,"Laura San Giacomo, Dermot Mulroney, Robert Knepper, Sean Astin"
Mimic: Sentinel,Horror|Sci-Fi|Thriller,J.T. Petty,"Lance Henriksen, Karl Geary, Alexis Dziena, Keith Robinson"
Zombie Strippers!,Comedy|Horror,Jay Lee,"Jenna Jameson, Robert Englund, Roxy Saint, Penny Vital"
Heartbreaker,Comedy|Romance,Pascal Chaumeil,"Romain Duris, Vanessa Paradis, Julie Ferrier, François Damiens"
Farewell,Thriller,Christian Carion,"Guillaume Canet, Emir Kusturica, Alexandra Maria Lara, Ingeborga Dapkunaite"
On the Other Side of the Tracks,Action|Comedy|Crime,David Charhon,"Omar Sy, Laurent Lafitte, Sabrina Ouazani, Lionel Abelanski"
Radio Day,Comedy,Dmitriy Dyachenko,"Diana Arbenina, Leonid Barats, Aleksandr Demidov, Nikolay Fomenko"
That's Entertainment! III,Documentary,"Bud Friedgen, Michael J. Sheridan","June Allyson, Cyd Charisse, Lena Horne, Howard Keel"
Slim Susie,Comedy|Crime|Mystery,Ulf Malmros,"Tuva Novotny, Jonas Rimeika, Björn A. Ling, Kjell Bergqvist"
Drömkåken,Comedy,Peter Dalle,"Björn Skifs, Suzanne Reuter, Zara Zetterqvist, Mikael Haack"
Asterix and the Vikings,Adventure|Animation|Children|Comedy|Fantasy,"Stefan Fjeldmark, Jesper Møller","Roger Carel, Lorànt Deutsch, Sara Forestier, Jacques Frantz"
Poetry,Drama,Chang-dong Lee,"Jeong-hie Yun, Da-wit Lee, Hee-ra Kim, Nae-sang Ahn"
Tangerines,Drama,Zaza Urushadze,"Lembit Ulfsak, Giorgi Nakashidze, Misha Meskhi, Elmo Nüganen"
Day of the Wacko,Comedy|Drama,Marek Koterski,"Marek Kondrat, Janina Traczykówna, Andrzej Grabowski, Michal Koterski"
The Master,(no genres listed),Paul Thomas Anderson,"Joaquin Phoenix, Price Carson, Mike Howard, Sarah Shoshana David"
The Marine 4: Moving Target,Action|Thriller,William Kaufman,"Mike 'The Miz' Mizanin, Melissa Roxburgh, Josh Blacker, Matthew MacCaull"
The Great Raid,Action|Drama|War,John Dahl,"Benjamin Bratt, James Franco, Robert Mammone, Max Martini"
Love the Beast,Documentary,Eric Bana,"Eric Bana, Jeremy Clarkson, Steve Coad, Grant Denyer"
Okja,Action|Adventure|Drama|Sci-Fi,Joon-ho Bong,"Tilda Swinton, Sheena Kamal, Michael Mitton, Colm Hill"
Wrong Turn 2: Dead End,Action|Horror|Thriller,Joe Lynch,"Erica Leerhsen, Henry Rollins, Texas Battle, Aleksa Palladino"
Descent,Drama|Thriller,Talia Lugacy,"Rosario Dawson, Chad Faust, Marcus Patrick, Vanessa Ferlito"
Frontière,Drama|Horror|Thriller,Guillaume Falardeau,"Louis Courchesne, Julien Deschamps Jolin, Alexandre Richard"
iBoy,Action|Crime|Sci-Fi|Thriller,Adam Randall,"Bill Milner, Maisie Williams, Miranda Richardson, Rory Kinnear"
Lore,Drama|Thriller|War,Cate Shortland,"Saskia Rosendahl, Nele Trebs, Mike Weidner, Ursina Lardi"
Breathe In,Drama|Romance,Drake Doremus,"Guy Pearce, Felicity Jones, Amy Ryan, Mackenzie Davis"
Copenhagen,Adventure|Drama|Romance,Mark Raso,"Gethin Anthony, Frederikke Dahl Hansen, Sebastian Armesto, Olivia Grant"
Suite Française,Drama|Romance|War,Saul Dibb,"Michelle Williams, Kristin Scott Thomas, Margot Robbie, Eric Godon"
Far from the Madding Crowd,Drama,Thomas Vinterberg,"Carey Mulligan, Matthias Schoenaerts, Tilly Vosburgh, Mark Wingett"
Sarafina!,Drama,Darrell Roodt,"Leleti Khumalo, Whoopi Goldberg, Miriam Makeba, John Kani"
Léolo,Comedy|Drama,Jean-Claude Lauzon,"Gilbert Sicotte, Maxime Collin, Ginette Reno, Julien Guiomar"
Wrath of the Titans,Action|Adventure|Fantasy|IMAX,Jonathan Liebesman,"Sam Worthington, Liam Neeson, Ralph Fiennes, Edgar Ramírez"
I've Loved You So Long,Drama|Mystery,Philippe Claudel,"Kristin Scott Thomas, Elsa Zylberstein, Serge Hazanavicius, Laurent Grévill"
Little Nicholas,Comedy|Drama,Laurent Tirard,"Maxime Godart, Vincent Claude, Charles Vaillant, Victor Carles"
Red Like the Sky,Drama,Cristiano Bortone,"Francesco Campobasso, Luca Capriotti, Marco Cocci, Simone Colombari"
Snow White,Drama,Michael Berz,"Diana Rigg, Billy Barty, Sarah Patterson, Nicola Stapleton"
Flicka,Children|Drama,Michael Mayer,"Tim McGraw, Maria Bello, Alison Lohman, Ryan Kwanten"
Iron Will,Adventure,Charles Haid,"Mackenzie Astin, Kevin Spacey, David Ogden Stiers, August Schellenberg"
Eye of God,Drama,Tim Blake Nelson,"Mary Kay Place, Nick Stahl, Chris Freihofer, Woody Watson"
Outpost,Action|Horror,Steve Barker,"Ray Stevenson, Julian Wadham, Richard Brake, Paul Blair"
Bitter Sugar,Drama,Leon Ichaso,"René Lavan, Mayte Vilán, Miguel Gutiérrez, Larry Villanueva"
Addams Family Reunion,Children|Comedy|Fantasy,Dave Payne,"Daryl Hannah, Tim Curry, Nicole Fugere, Jerry Messing"
Rampart,Action|Crime|Drama|Thriller,Oren Moverman,"Woody Harrelson, Jon Bernthal, Stella Schnabel, Jon Foster"
Damsels in Distress,Comedy|Romance,Whit Stillman,"Greta Gerwig, Carrie MacLemore, Megalyn Echikunwoke, Analeigh Tipton"
Sound of My Voice,Drama|Mystery|Sci-Fi,Zal Batmanglij,"Christopher Denham, Nicole Vicius, Brit Marling, Davenia McFadden"
Cosmopolis,Drama,David Cronenberg,"Robert Pattinson, Sarah Gadon, Paul Giamatti, Kevin Durand"
House at the End of the Street,Horror|Thriller,Mark Tonderai,"Jennifer Lawrence, Max Thieriot, Elisabeth Shue, Gil Bellows"
No Such Thing,Drama|Fantasy|Romance,Hal Hartley,"Margrét Ákadóttir, Julie Anderson, Anna Kristín Arngrímsdóttir, Ilene Bergelson"
Merry Madagascar,Animation,David Soren,"Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith"
Machuca,Drama,Andrés Wood,"Matías Quer, Ariel Mateluna, Manuela Martelli, Aline Küppenheim"
Tokyo Fist,Action|Drama,Shin'ya Tsukamoto,"Kaori Fujii, Shin'ya Tsukamoto, Kôji Tsukamoto, Naomasa Musaka"
Eden of the East the Movie II: Paradise Lost,Animation|Crime|Mystery|Sci-Fi|Thriller,Kenji Kamiyama,"Jason Liebrecht, Saori Hayami, Lydia Mackay, Leah Clark"
Abandon,Drama|Thriller,Stephen Gaghan,"Katie Holmes, Benjamin Bratt, Charlie Hunnam, Zooey Deschanel"
Return with Honor,Documentary,"Freida Lee Mock, Terry Sanders","Everett Alvarez, Ron Bliss, Fred Cherry, George Day"
Tomboy,Drama,Céline Sciamma,"Zoé Héran, Malonn Lévana, Jeanne Disson, Sophie Cattani"
Zero Motivation,Comedy|Drama,Talya Lavie,"Dana Ivgy, Nelly Tagar, Shani Klein, Heli Twito"
The Farewell Party,Drama,"Tal Granit, Sharon Maymon","Ze'ev Revach, Levana Finkelstein, Aliza Rosen, Ilan Dar"
Beyond a Reasonable Doubt,Drama|Mystery,Peter Hyams,"Jesse Metcalfe, Amber Tamblyn, Michael Douglas, Joel David Moore"
Brand Upon the Brain!,Adventure|Fantasy|Mystery,Guy Maddin,"Gretchen Krich, Sullivan Brown, Maya Lawson, Katherine E. Scharhon"
Brief Interviews with Hideous Men,Comedy|Drama,John Krasinski,"Julianne Nicholson, Ben Shenkman, Timothy Hutton, Michael Cerveris"
Submarino,Drama,Thomas Vinterberg,"Gustav Fischer Kjærulff, Sebastian Bull Sarning, Mads Broe Andersen, Jakob Cedergren"
Listen to Me Marlon,Documentary,Stevan Riley,Marlon Brando
Were the World Mine,Adventure|Fantasy|Musical|Romance,Tom Gustafson,"Tanner Cohen, Wendy Robie, Judy McLane, Zelda Williams"
Nowhere Boy,Drama,Sam Taylor-Johnson,"Aaron Taylor-Johnson, Kristin Scott Thomas, David Threlfall, Josh Bolt"
Kaboom,Comedy|Sci-Fi,Gregg Araki,"Thomas Dekker, Haley Bennett, Chris Zylka, Roxane Mesquida"
Goats,Comedy,Christopher Neil,"David Duchovny, Vera Farmiga, Graham Phillips, Justin Kirk"
John Dies at the End,Comedy|Fantasy|Horror,Don Coscarelli,"Chase Williamson, Rob Mayes, Paul Giamatti, Clancy Brown"
We Are What We Are,Drama|Horror|Mystery|Thriller,Jim Mickle,"Kassie Wesley DePaiva, Laurent Rejto, Julia Garner, Ambyr Childers"
Beware the Gonzo,Comedy|Drama|Romance,Bryan Goluboff,"Ezra Miller, Zoë Kravitz, Griffin Newman, Stefanie Y. Hong"
We Are the Best!,Children|Comedy|Drama,Lukas Moodysson,"Mira Barkhammar, Mira Grosin, Liv LeMoyne, Johan Liljemark"
Life After Beth,Comedy|Horror|Romance,Jeff Baena,"Aubrey Plaza, Dane DeHaan, John C. Reilly, Molly Shannon"
The Way He Looks,Drama|Romance,Daniel Ribeiro,"Ghilherme Lobo, Fabio Audi, Tess Amorim, Lúcia Romano"
Suburban Gothic,Comedy|Horror,Richard Bates Jr.,"Matthew Gray Gubler, Kat Dennings, Ray Wise, Barbara Niven"
Barbie in Princess Power,Animation|Children,Ezekiel Norton,"Kelly Sheridan, Britt Irvin, Michael Kopsa, Rebecca Husain"
Gigantic,Documentary,Matt Aselton,"Paul Dano, Zooey Deschanel, John Goodman, Edward Asner"
Things You Can Tell Just by Looking at Her,Drama|Romance,Rodrigo García,"Glenn Close, Cameron Diaz, Calista Flockhart, Kathy Baker"
The Hundred-Foot Journey,Comedy|Drama,Lasse Hallström,"Helen Mirren, Om Puri, Manish Dayal, Charlotte Le Bon"
Astro Boy,Action|Animation|Children|Sci-Fi,David Bowers,"Charlize Theron, Freddie Highmore, Ryan Stiles, Eugene Levy"
Everlasting Moments,Drama,Jan Troell,"Maria Heiskanen, Mikael Persbrandt, Jesper Christensen, Callin Öhrvall"
Eulogy,Comedy|Crime|Drama,Michael Clancy,"Hank Azaria, Jesse Bradford, Zooey Deschanel, Glenne Headly"
"Truth or Consequences, N.M.",Action|Crime|Romance,Kiefer Sutherland,"Vincent Gallo, Mykelti Williamson, Kiefer Sutherland, Kevin Pollak"
Claire of the Moon,Drama|Romance,Nicole Conn,"Trisha Todd, Karen Trumbo, Faith McDevitt, Craig Damen"
Leprechaun,Comedy|Horror,Mark Jones,"Warwick Davis, Jennifer Aniston, Ken Olandt, Mark Holton"
Cool World,Animation|Comedy|Fantasy,Ralph Bakshi,"Kim Basinger, Gabriel Byrne, Brad Pitt, Michele Abrams"
Book of Love,Comedy|Romance,Alan Brown,"Frances O'Connor, Simon Baker, Gregory Smith, Bryce Dallas Howard"
Fist of the North Star,Action|Thriller,Toyoo Ashida,"Akira Kamiya, Yuriko Yamamoto, Kenji Utsumi, Chikao Ohtsuka"
Albatross,Drama,Niall MacCormick,"Jessica Brown Findlay, Harry Treadaway, Josef Altin, Felicity Jones"
Intermission,Comedy|Crime|Drama,John Crowley,"Colin Farrell, Kerry Condon, Johnny Thompson, Emma Bolger"
Extreme Ops,Action|Adventure|Crime|Thriller,Christian Duguay,"Devon Sawa, Bridgette Wilson-Sampras, Rupert Graves, Rufus Sewell"
Cold Creek Manor,Drama|Thriller,Mike Figgis,"Dennis Quaid, Sharon Stone, Stephen Dorff, Juliette Lewis"
Burnt Money,Action|Crime|Drama|Romance|Thriller,Marcelo Piñeyro,"Leonardo Sbaraglia, Eduardo Noriega, Pablo Echarri, Leticia Brédice"
Revolution OS,Documentary,J.T.S. Moore,"Linus Torvalds, Richard M. Stallman, Eric Raymond, Bruce Perens"
Seventh Heaven,Drama|Romance,Henry King,"Simone Simon, James Stewart, Jean Hersholt, Gregory Ratoff"
Shadrach,Drama,Susanna Styron,"Martin Sheen, John Franklin Sawyer, Scott Terra, Ginnie Randall"
Rosie,Drama,Patrice Toye,"Aranka Coppens, Sara de Roo, Dirk Roofthooft, Joost Wynant"
Double Vision,Horror|Mystery|Thriller,Kuo-Fu Chen,"Tony Ka Fai Leung, David Morse, Rene Liu, Leon Dai"
Born to Fight,Action|Adventure|Crime|Thriller,Panna Rittikrai,"Nappon Gomarachun, Santisuk Promsiri, Dan Chupong, Piyapong Piew-on"
Murk,Drama|Thriller,Jannik Johansen,"Nikolaj Lie Kaas, Nicolas Bro, Laura Drasbæk, Lisbet Lundquist"
"Welcome Back, Mr. McDonald",Comedy,Kôki Mitani,"Toshiaki Karasawa, Kyôka Suzuki, Masahiko Nishimura, Keiko Toda"
Citizen Dog,Comedy|Fantasy|Romance,Wisit Sasanatieng,"Mahasamut Boonyaruk, Saengthong Gate-Uthong, Sawatwong Palakawong Na Autthaya, Nattha Wattanapaiboon"
Invisible Target,Action|Crime,Benny Chan,"Nicholas Tse, Jaycee Chan, Shawn Yue, Jing Wu"
I Just Didn't Do It,Drama,Masayuki Suo,"Ryo Kase, Asaka Seto, Kôji Yamamoto, Masako Motai"
The Hour of the Lynx,Drama|Thriller,Søren Kragh-Jacobsen,"Sofie Gråbøl, Signe Egholm Olsen, Frederik Christian Johansen, Søren Malling"
Accused,Drama|Thriller,Paula van der Oest,"Marwan Kenzari, Barry Atsma, Amanda Ooms, Sallie Harmsen"
Blind Detective,Comedy|Crime|Drama,Johnnie To,"Andy Lau, Sammi Cheng, Tao Guo, Yuanyuan Gao"
Lost on Journey,Comedy,Wai Man Yip,"Baoqiang Wang, Zheng Xu, Man Li, Xiao Qing Zuo"
My Girl,Children|Comedy|Romance,Howard Zieff,"Dan Aykroyd, Jamie Lee Curtis, Macaulay Culkin, Anna Chlumsky"
Slice,Thriller,Austin Vesely,"Zazie Beetz, Chance the Rapper, Rae Gray, Tim Decker"
Getting Home,Comedy|Drama,Yang Zhang,"Benshan Zhao, Qiwen Hong, Dandan Song, Degang Guo"
Walk Hard: The Dewey Cox Story,Comedy|Musical,Jake Kasdan,"Nat Faxon, John C. Reilly, Tim Meadows, Conner Rayburn"
Tracers,Action,Daniel Benmayor,"Taylor Lautner, Marie Avgeropoulos, Adam Rayner, Rafi Gavron"
Hunting and Gathering,Drama|Romance,Claude Berri,"Audrey Tautou, Guillaume Canet, Laurent Stocker, Françoise Bertin"
Chasing Ice,Documentary,Jeff Orlowski,"James Balog, Svavar Jónatansson, Louie Psihoyos, Kitty Boone"
Girltrash: All Night Long,Comedy|Crime|Drama,Alexandra Kondracke,"Lisa Rieffel, Erin Kelly, Michelle Lombardo, Johnny Dunn"
Quartet,Comedy|Drama,Dustin Hoffman,"Maggie Smith, Tom Courtenay, Billy Connolly, Pauline Collins"
Opportunity Knocks,Comedy,Donald Petrie,"Dana Carvey, Robert Loggia, Todd Graff, Julia Campbell"
Pushing Hands,Drama,Ang Lee,"Sihung Lung, Lai Wang, Bozhao Wang, Deb Snyder"
In China They Eat Dogs,Action|Comedy,Lasse Spang Olsen,"Kim Bodnia, Dejan Cukic, Nikolaj Lie Kaas, Tomas Villum Jensen"
Where the Truth Lies,Drama|Thriller,Atom Egoyan,"Kevin Bacon, Colin Firth, Alison Lohman, David Hayman"
Popular Music,Comedy|Drama,Reza Bagher,"Max Enderfors, Andreas af Enehielm, Niklas Ulfvarson, Tommy Vallikari"
Zombie Reanimation,Action|Comedy|Horror,"Thomas Kercmar, Jochen Taubert","Tasso Mintopoulos, Erich Amerkamp, Tanja Weiden, Andreas Resing"
Annabelle,Horror,John R. Leonetti,"Annabelle Wallis, Ward Horton, Tony Amendola, Alfre Woodard"
Camp X-Ray,Drama,Peter Sattler,"Nawal Bengholam, Payman Maadi, Lane Garrison, Joseph Julian Soria"
About Alex,Drama,Jesse Zwick,"Nate Parker, Jason Ritter, Maggie Grace, Max Greenfield"
Robot Chicken: Star Wars,Animation|Comedy|Sci-Fi,Seth Green,"Seth Green, Candace Bailey, Abraham Benrubi, Bob Bergen"
Paradise Lost 2: Revelations,Documentary,"Joe Berlinger, Bruce Sinofsky","Damien Wayne Echols, Melissa Byers, Norris Deajon, Tim Sullivan"
Being Elmo: A Puppeteer's Journey,Documentary,Constance Marks,"Whoopi Goldberg, Bill Barretta, Tau Bennett, Fran Brill"
Craigslist Joe,Adventure|Documentary,Joseph Garner,"Joseph Garner, Kristos Andrews, Gina Keatley, Michael T. Kuciak"
Kumaré,Documentary,Vikram Gandhi,"Vikram Gandhi, Toby, Greg, Molly"
Beware of Mr. Baker,Documentary,Jay Bulger,"Bob Adcock, Tony Allen, Carmine Appice, Brian Auger"
Room 237,Documentary,Rodney Ascher,"Bill Blakemore, Geoffrey Cocks, Juli Kearns, John Fell Ryan"
Meet the Patels,Documentary,"Geeta Patel, Ravi Patel","Ravi Patel, Geeta Patel, Champa V. Patel, Vasant K. Patel"
Team Foxcatcher,Documentary,Jon Greenhalgh,"Dan Chaid, John du Pont, Dave Schultz, Mark Schultz"
One Night with the King,Drama,Michael O. Sajbel,"Tiffany Dupont, Luke Goss, John Noble, Omar Sharif"
About Elly,Drama|Mystery,Asghar Farhadi,"Golshifteh Farahani, Shahab Hosseini, Taraneh Alidoosti, Merila Zare'i"
"20,000 Days on Earth",Documentary|Drama|Musical,"Iain Forsyth, Jane Pollard","Nick Cave, Susie Bick, Darian Leader, Warren Ellis"
Uncle Boonmee Who Can Recall His Past Lives,Drama|Fantasy,Apichatpong Weerasethakul,"Thanapat Saisaymar, Jenjira Pongpas, Sakda Kaewbuadee, Natthakarn Aphaiwonk"
"Two Days, One Night",Drama,"Jean-Pierre Dardenne, Luc Dardenne","Marion Cotillard, Fabrizio Rongione, Catherine Salée, Baptiste Sornin"
Listen Up Philip,Drama,Alex Ross Perry,"Jason Schwartzman, Elisabeth Moss, Krysten Ritter, Joséphine de La Baume"
The Duke of Burgundy,Drama,Peter Strickland,"Chiara D'Anna, Kata Bartsch, Sidse Babett Knudsen, Monica Swinn"
The Overnight,Comedy,Patrick Brice,"Adam Scott, Taylor Schilling, RJ Hermes, Kyle Field"
Timbuktu,Drama,Abderrahmane Sissako,"Ibrahim Ahmed, Abel Jafri, Toulou Kiki, Layla Walet Mohamed"
She's Funny That Way,Comedy,Peter Bogdanovich,"Imogen Poots, Illeana Douglas, Graydon Carter, Owen Wilson"
The Wolfpack,Documentary,Crystal Moselle,"Bhagavan Angulo, Govinda Angulo, Jagadisa Angulo, Krsna Angulo"
Eastern Boys,Drama,Robin Campillo,"Olivier Rabourdin, Kirill Emelyanov, Daniil Vorobyov, Edéa Darcque"
Queen of Earth,Drama,Alex Ross Perry,"Elisabeth Moss, Katherine Waterston, Patrick Fugit, Kentucker Audley"
Mo' Better Blues,Drama|Musical,Spike Lee,"Denzel Washington, Spike Lee, Wesley Snipes, Giancarlo Esposito"
Ricochet,Action|Crime|Thriller,Russell Mulcahy,"Denzel Washington, John Lithgow, Ice-T, Kevin Pollak"
The Rabbi's Cat,Adventure|Animation,"Antoine Delesvaux, Joann Sfar","Mathieu Amalric, Hafsia Herzi, François Damiens, Karina Testa"
The Great Wall,Action|Adventure|Thriller,Yimou Zhang,"Matt Damon, Tian Jing, Willem Dafoe, Andy Lau"
Article 99,Comedy|Drama,Howard Deutch,"Ray Liotta, Kiefer Sutherland, Forest Whitaker, Lea Thompson"
Teacher's Pet,Animation|Children,George Seaton,"Clark Gable, Doris Day, Gig Young, Mamie Van Doren"
Shining Through,Drama|Romance|Thriller|War,David Seltzer,"Michael Douglas, Melanie Griffith, Liam Neeson, Joely Richardson"
Boot Camp,Thriller,Christian Duguay,"Mila Kunis, Gregory Smith, Peter Stormare, Regine Nehy"
Extract,Comedy,Mike Judge,"Jason Bateman, Mila Kunis, Kristen Wiig, Ben Affleck"
Africa: The Serengeti,Documentary|IMAX,George Casey,James Earl Jones
Al Franken: God Spoke,Documentary,"Nick Doob, Chris Hegedus","Al Franken, Franni Bryson, Katherine Lanpher, Billy Kimball"
Divine Intervention,Comedy|Drama|Romance|War,Elia Suleiman,"Elia Suleiman, Manal Khader, George Ibrahim, Amer Daher"
Eros,Drama,"Michelangelo Antonioni, Steven Soderbergh, Kar-Wai Wong","Li Gong, Chen Chang, Feng Tien, Chun-Luk Chan"
Samaritan Girl,Drama,Ki-duk Kim,"Eol Lee, Ji-min Kwak, Yeo-reum Han, Hyun-min Kwon"
Che: Part Two,Drama|War,Steven Soderbergh,"Demián Bichir, Rodrigo Santoro, Benicio Del Toro, Catalina Sandino Moreno"
The Boyfriend School,Comedy|Romance,Malcolm Mowbray,"Shelley Long, Steve Guttenberg, Jami Gertz, Kyle MacLachlan"
Imaginaerum,Fantasy|Musical,"Stobe Harju, Mark Roper(co-director)","Francis X. McCarthy, Glenda Braganza, Helene Robbie, Ilkka Villi"
Harvie Krumpet,Animation|Comedy|Drama,Adam Elliot,"Geoffrey Rush, Kamahl, John Flaus, Julie Forsyth"
Denial,Drama,Mick Jackson,"Rachel Weisz, Tom Wilkinson, Timothy Spall, Andrew Scott"
Anything for Her,Crime|Drama|Thriller,Fred Cavayé,"Vincent Lindon, Diane Kruger, Lancelot Roch, Olivier Marchal"
Wadjda,Drama,Haifaa Al-Mansour,"Reem Abdullah, Waad Mohammed, Abdullrahman Al Gohani, Ahd"
5 to 7,Comedy|Drama|Romance,Victor Levin,"Anton Yelchin, Bérénice Marlohe, David Shannon, Lambert Wilson"
In My Father's Den,Drama,Brad McGann,"Matthew Macfadyen, Miranda Otto, Emily Barclay, Colin Moy"
Knuckleball!,Documentary,"Ricki Stern, Anne Sundberg","Tim Wakefield, Dave Lennon, Jim Bouton, Charles Hough"
The Lego Batman Movie,Action|Animation|Comedy,Chris McKay,"Will Arnett, Michael Cera, Rosario Dawson, Ralph Fiennes"
Jupiter's Wife,Documentary,Michel Negroponte,"Maggie Cogan, Katina Pendleton"
College Road Trip,Comedy,Roger Kumble,"Martin Lawrence, Raven-Symoné, Kym Whitley, Adam LeFevre"
Repo! The Genetic Opera,Fantasy|Horror|Musical,Darren Lynn Bousman,"Alexa PenaVega, Paul Sorvino, Anthony Head, Sarah Brightman"
Red State,Action|Crime|Horror|Thriller,Kevin Smith,"Michael Angarano, Deborah Aquila, Nicholas Braun, Ronnie Connell"
Cyclo,Crime|Drama,Anh Hung Tran,"Le Van Loc, Tony Chiu-Wai Leung, Nu Yên-Khê Tran, Nhu Quynh Nguyen"
Beautiful,Drama|Thriller,Sally Field,"Minnie Driver, Joey Lauren Adams, Hallie Eisenberg, Kathleen Turner"
Splendor,Comedy,Gregg Araki,"Kathleen Robertson, Johnathon Schaech, Matt Keeslar, Kelly Macdonald"
He Was a Quiet Man,Drama,Frank A. Cappello,"Michael DeLuise, Christian Slater, Jamison Jones, Anzu Lawson"
Devdas,Musical|Romance,Sanjay Leela Bhansali,"Shah Rukh Khan, Aishwarya Rai Bachchan, Madhuri Dixit, Jackie Shroff"
Karan Arjun,Drama,Rakesh Roshan,"Rakhee Gulzar, Salman Khan, Shah Rukh Khan, Amrish Puri"
Bent,Drama|War,Sean Mathias,"Mick Jagger, Clive Owen, Brian Webber, Nikolaj Coster-Waldau"
Aspen Extreme,Action,Patrick Hasburgh,"Paul Gross, Peter Berg, Finola Hughes, Teri Polo"
Collapse,Documentary,Chris Smith,Michael Ruppert
Food Matters,Documentary,"James Colquhoun, Carlo Ledesma","Vicky Blewitt, Ian Brighthope, Jerome Burne, Phillip Day"
Synthetic Pleasures,Documentary,Iara Lee,"Scott Bakatman, John Perry Barlow, Robert Ettinger, Robert Gurland"
Kaena: The Prophecy,Action|Adventure|Animation|Children|Sci-Fi,"Chris Delaporte, Pascal Pinon(co-director)","Cécile de France, Michael Lonsdale, Victoria Abril, François Siener"
Once Upon a Forest,Adventure|Animation|Children|Fantasy,Charles Grosvenor,"Michael Crawford, Ben Vereen, Ellen Blain, Benji Gregory"
Intimate Relations,Comedy,Philip Goodhew,"Julie Walters, Rupert Graves, Matthew Walker, Laura Sadler"
Come Undone,Drama|Romance,Sébastien Lifshitz,"Jérémie Elkaïm, Stéphane Rideau, Marie Matheron, Dominique Reymond"
Survival of the Dead,Horror,George A. Romero,"Alan Van Sprang, Joshua Peace, Hardee T. Lineham, Dru Viergever"
Get Over It,Drama,Tommy O'Haver,"Kirsten Dunst, Ben Foster, Melissa Sagemiller, Sisqó"
Frankie Starlight,Drama|Romance,Michael Lindsay-Hogg,"Corban Walker, Niall Toibin, Owen Roe, Gabriel Byrne"
Body of Evidence,Drama|Thriller,Uli Edel,"Madonna, Michael Forest, Joe Mantegna, Charles Hallahan"
Moolaadé,Drama,Ousmane Sembene,"Fatoumata Coulibaly, Maimouna Hélène Diarra, Salimata Traoré, Dominique Zeïda"
Rigoletto,Drama,Leo D. Paur,"Dalin Christiansen, Frank Gerrish, Cynthia Jump, Josh Goodwin"
Hav Plenty,Comedy,Christopher Scott Cherot,"Christopher Scott Cherot, Chenoa Maxwell, Tammi Katherine Jones, Robinne Lee"
Catch That Kid,Action|Adventure|Children|Comedy|Crime,Bart Freundlich,"Kristen Stewart, Corbin Bleu, Max Thieriot, Jennifer Beals"
Into the Blue,Action|Adventure|Crime|Thriller,John Stockwell,"Paul Walker, Jessica Alba, Scott Caan, Ashley Scott"
Hotel for Dogs,Adventure|Children|Comedy,Thor Freudenthal,"Emma Roberts, Jake T. Austin, Don Cheadle, Johnny Simmons"
Scary Movie 5,Comedy,"Malcolm D. Lee, David Zucker","Ashley Tisdale, Simon Rex, Gracie Whitton, Ava Kolker"
Food of Love,Drama,Ventura Pons,"Juliet Stevenson, Kevin Bishop, Allan Corduner, Paul Rhys"
Yankee Zulu,Comedy|Drama,Gray Hofmeyr,"Leon Schuster, John Matshikiza, Wilson Dunster, Terri Treas"
While We're Young,Comedy|Drama,Noah Baumbach,"Naomi Watts, Ben Stiller, Maria Dizzia, Adam Horovitz"
Scooby-Doo on Zombie Island,Animation|Children|Comedy|Mystery,"Hiroshi Aoyama, Kazumi Fukushima, Jim Stenstrum","Scott Innes, Billy West, Mary Kay Bergman, Frank Welker"
An Empress and the Warriors,Action|Drama|Romance|War,Siu-Tung Ching,"Kelly Chen, Donnie Yen, Leon Lai, Xiaodong Guo"
Fast Track: No Limits,Action|Thriller,Axel Sand,"Erin Cahill, Andrew W. Walker, Alexia Barlier, Joseph Beattie"
Spinning Boris,Comedy|Drama,Roger Spottiswoode,"Jeff Goldblum, Anthony LaPaglia, Liev Schreiber, Boris Lee Krutonog"
Ladybugs,Comedy,Sidney J. Furie,"Rodney Dangerfield, Jackée Harry, Jonathan Brandis, Ilene Graff"
Looking for Comedy in the Muslim World,Comedy,Albert Brooks,"Penny Marshall, Victoria Burrows, Paul Jerome, Albert Brooks"
What Would Jesus Buy?,Comedy|Documentary,Rob VanAlkemade,"Adetola Abiade, Paul Allen, Paul Norman Allen, Paul Norman Allen"
Extracted,Drama|Sci-Fi,Nir Paniry,"Sasha Roiz, Jenny Mollen, Dominic Bogart, Richard Riehle"
